2026-04-20 18:35:53 | INFO     | LinkedInWatcher | Vault root   : D:\Hackthon_0\silver_tier_3
2026-04-20 18:35:53 | INFO     | LinkedInWatcher | Destination  : D:\Hackthon_0\silver_tier_3\Needs_Action
2026-04-20 18:35:53 | INFO     | LinkedInWatcher | Profile dir  : D:\Hackthon_0\silver_tier_3\Logs\linkedin_profile
2026-04-20 18:35:53 | INFO     | LinkedInWatcher | Keywords     : ['sales', 'inquiry', 'proposal', 'pricing']
2026-04-20 18:35:53 | INFO     | LinkedInWatcher | Poll interval: 60s
2026-04-20 18:35:53 | INFO     | LinkedInWatcher | Headless     : False
2026-04-20 18:35:53 | INFO     | LinkedInWatcher | Launching Chromium (headless=False)…
2026-04-20 18:35:57 | INFO     | LinkedInWatcher | Browser started.
2026-04-20 18:35:57 | INFO     | LinkedInWatcher | Navigating to LinkedIn…
2026-04-20 18:36:07 | WARNING  | LinkedInWatcher | Not logged in. Run: python watchers/linkedin_watcher.py --setup
2026-04-20 18:36:07 | ERROR    | LinkedInWatcher | LinkedIn session not found. Run --setup first to log in.
2026-04-20 18:36:08 | INFO     | LinkedInWatcher | Browser stopped.
2026-04-20 18:36:27 | INFO     | LinkedInWatcher | Vault root   : D:\Hackthon_0\silver_tier_3
2026-04-20 18:36:27 | INFO     | LinkedInWatcher | Destination  : D:\Hackthon_0\silver_tier_3\Needs_Action
2026-04-20 18:36:27 | INFO     | LinkedInWatcher | Profile dir  : D:\Hackthon_0\silver_tier_3\Logs\linkedin_profile
2026-04-20 18:36:27 | INFO     | LinkedInWatcher | Keywords     : ['sales', 'inquiry', 'proposal', 'pricing']
2026-04-20 18:36:27 | INFO     | LinkedInWatcher | Poll interval: 60s
2026-04-20 18:36:27 | INFO     | LinkedInWatcher | Headless     : False
2026-04-20 18:36:27 | INFO     | LinkedInWatcher | Launching Chromium (headless=False)…
2026-04-20 18:36:30 | INFO     | LinkedInWatcher | Browser started.
2026-04-20 18:36:30 | INFO     | LinkedInWatcher | Navigating to LinkedIn…
2026-04-20 18:36:39 | WARNING  | LinkedInWatcher | Not logged in. Run: python watchers/linkedin_watcher.py --setup
2026-04-20 18:36:39 | ERROR    | LinkedInWatcher | LinkedIn session not found. Run --setup first to log in.
2026-04-20 18:36:40 | INFO     | LinkedInWatcher | Browser stopped.
2026-04-20 18:39:28 | INFO     | LinkedInWatcher | Vault root   : D:\Hackthon_0\silver_tier_3
2026-04-20 18:39:28 | INFO     | LinkedInWatcher | Destination  : D:\Hackthon_0\silver_tier_3\Needs_Action
2026-04-20 18:39:28 | INFO     | LinkedInWatcher | Profile dir  : D:\Hackthon_0\silver_tier_3\Logs\linkedin_profile
2026-04-20 18:39:28 | INFO     | LinkedInWatcher | Keywords     : ['sales', 'inquiry', 'proposal', 'pricing']
2026-04-20 18:39:28 | INFO     | LinkedInWatcher | Poll interval: 60s
2026-04-20 18:39:28 | INFO     | LinkedInWatcher | Headless     : False
2026-04-20 18:39:28 | INFO     | LinkedInWatcher | Launching Chromium (headless=False)…
2026-04-20 18:39:32 | INFO     | LinkedInWatcher | Browser started.
2026-04-20 18:39:32 | INFO     | LinkedInWatcher | Navigating to LinkedIn…
2026-04-20 18:39:41 | WARNING  | LinkedInWatcher | Not logged in. Run: python watchers/linkedin_watcher.py --setup
2026-04-20 18:39:41 | ERROR    | LinkedInWatcher | LinkedIn session not found. Run --setup first to log in.
2026-04-20 18:39:42 | INFO     | LinkedInWatcher | Browser stopped.
2026-04-20 18:41:10 | INFO     | LinkedInWatcher | Vault root   : D:\Hackthon_0\silver_tier_3
2026-04-20 18:41:10 | INFO     | LinkedInWatcher | Destination  : D:\Hackthon_0\silver_tier_3\Needs_Action
2026-04-20 18:41:10 | INFO     | LinkedInWatcher | Profile dir  : D:\Hackthon_0\silver_tier_3\Logs\linkedin_profile
2026-04-20 18:41:10 | INFO     | LinkedInWatcher | Keywords     : ['sales', 'inquiry', 'proposal', 'pricing']
2026-04-20 18:41:10 | INFO     | LinkedInWatcher | Poll interval: 60s
2026-04-20 18:41:10 | INFO     | LinkedInWatcher | Headless     : False
2026-04-20 18:41:10 | INFO     | LinkedInWatcher | Launching Chromium (headless=False)…
2026-04-20 18:41:13 | INFO     | LinkedInWatcher | Browser started.
2026-04-20 18:41:13 | INFO     | LinkedInWatcher | Navigating to LinkedIn…
2026-04-20 18:41:23 | WARNING  | LinkedInWatcher | Not logged in. Run: python watchers/linkedin_watcher.py --setup
