2026-04-21 14:40:57 | INFO     | WhatsAppWatcher | Vault root   : D:\Hackthon_0\silver_tier_3
2026-04-21 14:40:57 | INFO     | WhatsAppWatcher | Destination  : D:\Hackthon_0\silver_tier_3\Needs_Action
2026-04-21 14:40:57 | INFO     | WhatsAppWatcher | Profile dir  : D:\Hackthon_0\silver_tier_3\Logs\whatsapp_profile
2026-04-21 14:40:57 | INFO     | WhatsAppWatcher | Keywords     : ['urgent', 'invoice', 'payment', 'pricing', 'asap']
2026-04-21 14:40:57 | INFO     | WhatsAppWatcher | Poll interval: 30s
2026-04-21 14:40:57 | INFO     | WhatsAppWatcher | Headless     : False
2026-04-21 14:40:57 | INFO     | WhatsAppWatcher | Launching Chromium (headless=False)…
2026-04-21 14:41:01 | INFO     | WhatsAppWatcher | Browser started.
2026-04-21 14:41:01 | INFO     | WhatsAppWatcher | Navigating to WhatsApp Web…
2026-04-21 14:42:07 | ERROR    | WhatsAppWatcher | Timed out waiting for WhatsApp Web. If not logged in, run: python watchers/whatsapp_watcher.py --setup
2026-04-21 14:42:07 | ERROR    | WhatsAppWatcher | Could not load WhatsApp Web. Exiting.
2026-04-21 14:42:08 | INFO     | WhatsAppWatcher | Browser stopped.
2026-04-21 14:42:09 | INFO     | WhatsAppWatcher | Vault root   : D:\Hackthon_0\silver_tier_3
2026-04-21 14:42:09 | INFO     | WhatsAppWatcher | Destination  : D:\Hackthon_0\silver_tier_3\Needs_Action
2026-04-21 14:42:09 | INFO     | WhatsAppWatcher | Profile dir  : D:\Hackthon_0\silver_tier_3\Logs\whatsapp_profile
2026-04-21 14:42:09 | INFO     | WhatsAppWatcher | Keywords     : ['urgent', 'invoice', 'payment', 'pricing', 'asap']
2026-04-21 14:42:09 | INFO     | WhatsAppWatcher | Poll interval: 30s
2026-04-21 14:42:09 | INFO     | WhatsAppWatcher | Headless     : False
2026-04-21 14:42:09 | INFO     | WhatsAppWatcher | Launching Chromium (headless=False)…
2026-04-21 14:42:12 | INFO     | WhatsAppWatcher | Browser started.
2026-04-21 14:42:12 | INFO     | WhatsAppWatcher | Navigating to WhatsApp Web…
2026-04-21 14:43:16 | ERROR    | WhatsAppWatcher | Timed out waiting for WhatsApp Web. If not logged in, run: python watchers/whatsapp_watcher.py --setup
2026-04-21 14:43:16 | ERROR    | WhatsAppWatcher | Could not load WhatsApp Web. Exiting.
2026-04-21 14:43:17 | INFO     | WhatsAppWatcher | Browser stopped.
2026-04-21 14:43:17 | INFO     | WhatsAppWatcher | Vault root   : D:\Hackthon_0\silver_tier_3
2026-04-21 14:43:17 | INFO     | WhatsAppWatcher | Destination  : D:\Hackthon_0\silver_tier_3\Needs_Action
2026-04-21 14:43:17 | INFO     | WhatsAppWatcher | Profile dir  : D:\Hackthon_0\silver_tier_3\Logs\whatsapp_profile
2026-04-21 14:43:17 | INFO     | WhatsAppWatcher | Keywords     : ['urgent', 'invoice', 'payment', 'pricing', 'asap']
2026-04-21 14:43:17 | INFO     | WhatsAppWatcher | Poll interval: 30s
2026-04-21 14:43:17 | INFO     | WhatsAppWatcher | Headless     : False
